CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,5 Years,104.328424,4.497452,21.590718
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,30 Years,86.124088,13.109790,259.677564
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.328424,4.497452,21.590718
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,30 Years,86.529705,13.188985,262.679454
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,30 Years,84.799501,12.830032,248.852346
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,30 Years,84.824299,12.835053,249.042723
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,30 Years,84.799691,12.830071,248.853804
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,30 Years,84.809895,12.832137,248.932154
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,20 Years,101.097535,12.706359,211.462971
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,30 Years,86.077289,13.077026,258.125301
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,5 Years,104.332603,4.497394,21.590184
