CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,30 Years,101.989345,15.698979,357.064635
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,5 Years,104.329748,4.497433,21.590601
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,10 Years,104.717554,8.025864,73.801587
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,20 Years,101.072347,12.708919,211.536314
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,30 Years,101.898886,15.688504,356.686219
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,30 Years,101.858525,15.680767,356.437604
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,30 Years,101.861117,15.681132,356.451434
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,30 Years,101.858545,15.680770,356.437710
