CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,5 Years,104.328424,4.497434,21.590675
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,10 Years,104.729897,8.026018,73.804406
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,20 Years,101.109172,12.705687,211.420557
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,30 Years,101.943932,15.681980,356.433840
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.328424,4.497434,21.590675
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.729897,8.026018,73.804406
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.109172,12.705687,211.420557
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,30 Years,101.982471,15.687391,356.639255
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,5 Years,104.328912,4.497277,21.589488
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,10 Years,104.699879,8.024637,73.785518
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,20 Years,101.046068,12.698541,211.244147
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,30 Years,101.867585,15.671117,356.086971
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,5 Years,104.328912,4.497277,21.589488
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,10 Years,104.699879,8.024637,73.785518
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,20 Years,101.046068,12.698541,211.244147
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,30 Years,101.869675,15.671411,356.098134
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,5 Years,104.328912,4.497277,21.589488
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,10 Years,104.699879,8.024637,73.785518
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,20 Years,101.046068,12.698541,211.244147
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,30 Years,101.867601,15.671119,356.087057
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,5 Years,104.328912,4.497277,21.589488
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,10 Years,104.699879,8.024637,73.785518
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,20 Years,101.046068,12.698541,211.244147
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,30 Years,101.868540,15.671251,356.092072
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,5 Years,104.332603,4.497377,21.590140
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,10 Years,104.736940,8.025432,73.795319
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,20 Years,101.102170,12.701258,211.302520
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,30 Years,101.947808,15.678035,356.315275
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,5 Years,104.332603,4.497377,21.590140
